latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,month,prali_fire,geometry,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,NDVI,NBR,NDWI
11.81772,77.91484,303.0,0.6,0.7,2023-09-14,2109,N20,VIIRS,1,2,284.47,0.97,N,2,9,0,POINT (77.91484 11.81772),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.03454085930918281,-0.12191633893457275,-0.14927468413664016
24.84291,94.09052,332.58,0.46,0.39,2023-09-15,639,N20,VIIRS,1,2,297.51,13.6,D,0,9,0,POINT (94.09052 24.84291),IND.21_1,IND,India,Manipur,,,State,State,,IN.MN,IN-MN,0.728,0.3726937269372694,-0.6276130286825474
27.9359,96.76138,330.24,0.38,0.36,2023-09-15,639,N20,VIIRS,1,2,297.99,2.76,D,0,9,0,POINT (96.76138 27.9359),IND.3_1,IND,India,Arunachal Pradesh,Agence de la Frontière du Nord-E,,State,State,,IN.AR,IN-AR,0.8311640014875419,0.5192841715519901,-0.7313642756680732
27.82379,96.31678,330.52,0.39,0.36,2023-09-15,639,N20,VIIRS,1,2,296.4,1.51,D,0,9,0,POINT (96.31678 27.82379),IND.3_1,IND,India,Arunachal Pradesh,Agence de la Frontière du Nord-E,,State,State,,IN.AR,IN-AR,0.8947589098532495,0.6355410785378212,-0.7330776605944391
27.79413,96.27865,333.05,0.39,0.36,2023-09-15,639,N20,VIIRS,1,2,297.13,2.13,D,0,9,0,POINT (96.27865 27.79413),IND.3_1,IND,India,Arunachal Pradesh,Agence de la Frontière du Nord-E,,State,State,,IN.AR,IN-AR,0.8605025125628141,0.6275716546509583,-0.6656469317977326
27.6948,96.20972,336.43,0.39,0.36,2023-09-15,639,N20,VIIRS,1,2,296.69,2.9,D,0,9,0,POINT (96.20972 27.6948),IND.3_1,IND,India,Arunachal Pradesh,Agence de la Frontière du Nord-E,,State,State,,IN.AR,IN-AR,0.6143448275862069,0.2844600526777875,-0.6364653243847874
27.31542,95.26729,332.14,0.4,0.37,2023-09-15,639,N20,VIIRS,1,2,295.71,2.33,D,2,9,0,POINT (95.26729 27.31542),IND.4_1,IND,India,Assam,,,State,State,,IN.AS,IN-AS,0.7470418090980805,0.42789598108747046,-0.6228627259404006
8.92736,78.11655,334.31,0.42,0.38,2023-09-15,815,N20,VIIRS,1,2,295.53,5.48,D,0,9,0,POINT (78.11655 8.92736),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.25640334321919656,0.06271379703534778,-0.34565405717585906
8.77039,77.70818,344.87,0.41,0.37,2023-09-15,815,N20,VIIRS,1,2,303.19,4.89,D,0,9,0,POINT (77.70818 8.77039),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.21443384487764414,0.10178739416745061,-0.37820663685573075
9.56711,78.87405,340.33,0.46,0.39,2023-09-15,816,N20,VIIRS,1,2,300.6,3.76,D,0,9,0,POINT (78.87405 9.56711),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.15192483959670028,-0.1528479946073475,-0.2616388505458652
12.66075,79.26586,339.12,0.52,0.41,2023-09-15,816,N20,VIIRS,1,2,296.52,4.08,D,0,9,0,POINT (79.26586 12.66075),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.3781680303332668,0.344888023369036,-0.25769440903296303
12.34554,77.06175,338.03,0.41,0.37,2023-09-15,816,N20,VIIRS,1,2,296.06,3.87,D,0,9,0,POINT (77.06175 12.34554),IND.16_1,IND,India,Karnataka,Maisur|Mysore,,State,State,,IN.KA,IN-KA,0.33074994301344884,0.010034602076124567,-0.40708604483007954
12.34497,77.06171,344.17,0.41,0.37,2023-09-15,816,N20,VIIRS,1,2,297.08,5.51,D,0,9,0,POINT (77.06171 12.34497),IND.16_1,IND,India,Karnataka,Maisur|Mysore,,State,State,,IN.KA,IN-KA,0.4718885151369534,0.14291044776119402,-0.4926900584795322
12.66083,79.26369,335.49,0.52,0.41,2023-09-15,816,N20,VIIRS,1,2,296.66,2.06,D,0,9,0,POINT (79.26369 12.66083),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.23016003959742617,0.17751105495893874,-0.18575063613231552
12.14882,77.00767,335.8,0.41,0.37,2023-09-15,816,N20,VIIRS,1,2,297.99,5.1,D,0,9,0,POINT (77.00767 12.14882),IND.16_1,IND,India,Karnataka,Maisur|Mysore,,State,State,,IN.KA,IN-KA,0.647,0.4192158552348126,-0.5855595667870036
12.06874,76.82261,330.68,0.4,0.37,2023-09-15,816,N20,VIIRS,1,2,279.68,2.68,D,0,9,0,POINT (76.82261 12.06874),IND.16_1,IND,India,Karnataka,Maisur|Mysore,,State,State,,IN.KA,IN-KA,0.6607407407407407,0.3913942904426976,-0.633317144244779
12.03017,79.08418,330.15,0.5,0.41,2023-09-15,816,N20,VIIRS,1,2,296.21,2.54,D,0,9,0,POINT (79.08418 12.03017),IND.31_1,IND,India,Tamil Nadu,Madras|Tamilnad,,State,State,,IN.TN,IN-TN,0.3917268548916612,0.06899334274762961,-0.45917664876772685
